Mass of chassis: 1.25
Time X Y Z
0.176 -3.26539e-19 0.072973 5.33043e-11
0.177 -3.96055e-19 0.0736637 5.46186e-11
0.178 -3.81728e-19 0.0743807 5.58963e-11
0.179 -1.40027e-19 0.0751229 5.35384e-11
0.18 -1.62647e-19 0.075889 5.1887e-11
0.181 -1.51162e-19 0.0766781 5.10018e-11
0.182 -1.62414e-19 0.0774887 5.07448e-11
0.183 -1.3956e-19 0.0783198 5.09679e-11
0.184 -1.33759e-19 0.0791699 5.16083e-11
0.185 -1.05221e-19 0.080038 5.25518e-11
0.186 -1.50579e-19 0.0809226 5.37226e-11
0.187 7.6911e-20 0.0818224 5.14203e-11
0.188 4.29215e-20 0.0827361 4.99832e-11
0.189 1.46164e-20 0.0836623 4.93521e-11
0.19 -1.93731e-20 0.0845997 4.91812e-11
0.191 -3.91517e-20 0.0855468 4.95404e-11
0.192 -6.46147e-20 0.0865023 5.03219e-11
0.193 -1.15657e-19 0.0874647 5.14394e-11
0.194 3.8306e-21 0.0884327 5.09176e-11
0.195 -1.04055e-19 0.0894049 5.25141e-11
0.196 -4.1411e-20 0.0903797 5.24092e-11
0.197 9.86466e-21 0.0913559 5.06951e-11
0.198 -1.43496e-19 0.0923319 5.1548e-11
0.199 -8.08517e-20 0.0933064 5.0626e-11
0.2 -8.64194e-20 0.094278 5.1979e-11
0.201 -5.78812e-20 0.0952452 5.16393e-11
0.202 1.61319e-20 0.0962068 4.97116e-11
0.203 -2.3542e-20 0.0971612 5.02318e-11
0.204 -6.37237e-21 0.0981073 4.91581e-11
0.205 5.6272e-20 0.0990435 4.64918e-11
0.206 5.93056e-20 0.09997 4.42093e-11
0.207 5.47045e-20 0.100887 4.22595e-11
0.208 4.14515e-20 0.101793 4.05937e-11
0.209 3.5822e-20 0.10269 3.91707e-11
0.21 3.05241e-20 0.103578 3.79551e-11
0.211 2.76882e-20 0.104455 3.69166e-11
0.212 2.23758e-20 0.105323 3.60294e-11
0.213 2.11854e-20 0.10618 3.52716e-11
0.214 1.79002e-20 0.107028 3.46241e-11
0.215 1.60895e-20 0.107866 3.4071e-11
0.216 1.22984e-20 0.108695 3.35985e-11
0.217 1.03458e-20 0.109513 3.31949e-11
0.218 9.40347e-21 0.110322 3.285e-11
0.219 9.13662e-21 0.111121 3.25555e-11
0.22 1.05809e-20 0.11191 3.23038e-11
0.221 9.19855e-21 0.112689 3.20888e-11
0.222 9.07074e-21 0.113459 3.19052e-11
0.223 9.0056e-21 0.114218 3.17483e-11
0.224 8.606e-21 0.114968 3.16143e-11
0.225 8.02044e-21 0.115708 3.14998e-11
0.226 8.21655e-21 0.116438 3.14019e-11
0.227 7.3576e-21 0.117159 3.13184e-11
0.228 7.28136e-21 0.117869 3.1247e-11
0.229 6.57281e-21 0.11857 3.1186e-11
0.23 6.26671e-21 0.119261 3.11339e-11
0.231 6.0883e-21 0.119942 3.10894e-11
0.232 6.19021e-21 0.120614 3.10514e-11
0.233 5.82028e-21 0.121275 3.10189e-11
0.234 5.76121e-21 0.121927 3.09912e-11
0.235 5.41487e-21 0.122569 3.09675e-11
0.236 5.51817e-21 0.123201 3.09472e-11
0.237 5.43551e-21 0.123823 3.09299e-11
0.238 5.22239e-21 0.124436 3.09151e-11
0.239 5.05369e-21 0.125039 3.09025e-11
0.24 4.9738e-21 0.125632 3.08917e-11
0.241 4.98351e-21 0.126215 3.08825e-11
0.242 5.01959e-21 0.126788 3.08747e-11
0.243 4.84879e-21 0.127351 3.08679e-11
0.244 4.84278e-21 0.127905 3.08622e-11
0.245 4.79895e-21 0.128449 3.08573e-11
0.246 4.69129e-21 0.128983 3.08531e-11
0.247 4.58033e-21 0.129507 3.08495e-11
0.248 4.49457e-21 0.130021 3.08465e-11
0.249 4.42008e-21 0.130526 3.08438e-11
0.25 4.3168e-21 0.131021 3.08416e-11
0.251 4.21056e-21 0.131506 3.08397e-11
0.252 4.11138e-21 0.131981 3.08381e-11
0.253 4.01597e-21 0.132446 3.08367e-11
0.254 3.91917e-21 0.132902 3.08355e-11
0.255 3.82001e-21 0.133348 3.08345e-11
0.256 3.85963e-21 0.133783 3.08336e-11
0.257 4.02137e-21 0.13421 3.08329e-11
0.258 3.94467e-21 0.134626 3.08322e-11
0.259 3.82606e-21 0.135032 3.08317e-11
0.26 4.03181e-21 0.135429 3.08312e-11
0.261 3.9549e-21 0.135816 3.08308e-11
0.262 3.88053e-21 0.136193 3.08305e-11
0.263 3.96732e-21 0.13656 3.08302e-11
0.264 4.01346e-21 0.136918 3.083e-11
0.265 4.09937e-21 0.137265 3.08298e-11
0.266 4.22632e-21 0.137603 3.08296e-11
0.267 4.19193e-21 0.137931 3.08294e-11
0.268 4.15717e-21 0.138249 3.08293e-11
0.269 4.1223e-21 0.138558 3.08292e-11
0.27 4.0873e-21 0.138856 3.08291e-11
0.271 4.01208e-21 0.139145 3.0829e-11
0.272 3.89663e-21 0.139424 3.08289e-11
0.273 3.94254e-21 0.139693 3.08289e-11
0.274 3.94795e-21 0.139953 3.08288e-11
0.275 3.95363e-21 0.140202 3.08288e-11
0.276 3.91907e-21 0.140442 3.08287e-11
0.277 3.88442e-21 0.140672 3.08287e-11
0.278 4.01115e-21 0.140892 3.08287e-11
0.279 3.93639e-21 0.141102 3.08287e-11
0.28 3.86179e-21 0.141303 3.08286e-11
0.281 3.86786e-21 0.141493 3.08286e-11
0.282 3.99498e-21 0.141674 3.08286e-11
0.283 3.87784e-21 0.141845 3.08286e-11
0.284 4.00495e-21 0.142007 3.08286e-11
0.285 3.84969e-21 0.142158 3.08286e-11
0.286 4.01709e-21 0.1423 3.08286e-11
0.287 3.94246e-21 0.142431 3.08286e-11
0.288 3.86785e-21 0.142553 3.08285e-11
0.289 3.95458e-21 0.142666 3.08285e-11
0.29 4.00097e-21 0.142768 3.08285e-11
0.291 4.00704e-21 0.142861 3.08285e-11
0.292 3.97279e-21 0.142943 3.08285e-11
0.293 3.85797e-21 0.143016 3.08285e-11
